ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
,,,,,82,siver maple,26.1,3,78,berger park
,,,,,113,common mulberry,36.0,2.3,83,berger park
,,,,,93,honey locust,29.6,3,89,berger park
,,,,,78.5,norway maple,25.0,4.5,113,berger park
,,,,,158,red mulberry,50.3,2.3,116,berger park
,,,,,97,slippery elm,30.9,4,124,berger park
,,,,,95,norway maple,30.3,4.5,136,berger park
,,,,,114,norway maple,36.3,4.5,163,berger park
