"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
5815 N Wayne,second tree south of door,60,Norway Maple,19,4.5,85.5
1290 Early,corner of Wayne & Early,65,Norway Maple,21,4.5,94.5
1281 Early,SE corner Wayne & Early,58,Silver Maple,18,3,54
1281 Early,across from alley entrance,106,Silver Maple,34,3,102
1279 Early,rear of building on Wayne,67,Honey Locust,21,3,63
5705 N Wayne,,56,White Ash,18,5,90
5710 N Wayne,south parkway tree,45,Norway Maple,14,4.5,63
5710 N Wayne,north parkway tree,45,Norway Maple,14,4.5,63
5720 N Wayne,,79,Silver Maple,25,3,75
5720 N Wayne,,90,American Elm,29,4,116
5722 N Wayne,,103,Silver Maple,33,3,99
5734 N Wayne,,113,Silver Maple,36,3,108
