"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age,
5244 Lakewood,Church,90,Maple,29,3,86,
5244 Lakewood,Church,119,Chinese Elm,38,4,152,
5244 Lakewood,Church,81,Elm,26,4,103,
5255 Lakewood,,62,Ash,20,5,99,
5253 Lakewood,,63,Ash,20,5,100,
5253 Lakewood,,66,Ash,21,5,105,
5245 Lakewood,,90,Silver Maple,29,3,86,
5241 Lakewood,,116,Silver Maple,37,3,111,
5227 Lakewood,,76,Honey Locust,24,3,73,
5223 Lakewood,,85,Maple,27,3,81,
5217 Lakewood,,76,Maple,24,3,73,
5256 Magnolia,,103,Maple,33,3,98,
5254 Magnolia,,72,Maple,23,3,69,
5252 Magnolia,,84,Maple,27,3,80,
5242 Magnolia,,63,Maple,20,3,60,
5238 Magnolia,,66,Maple,21,3,63,
5230 Magnolia,,80,Maple,25,3,76,
5226 Magnolia,,90,Sycamore,29,4,115,
5220 Magnolia,,92,Maple,29,3,88,
5200 Magnolia,,107,Maple,34,3,102,
5217 Magnolia,,95,Honey Locust,30,3,91,
5223 Magnolia,,104,Maple,33,3,99,
5229 Magnolia,,75,Maple,24,3,72,
5241 Magnolia,,80,Honey Locust,25,3,76,
5251 Magnolia,,170,Maple,54,3,162,could be two trees
5255 Magnolia,,113,Maple,36,3,108,
