"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
1228 W Norwood,,65,Silver Maple,21,3,63
1242 W Norwood,,75,Silver Maple,24,3,72
1248 W Norwood,,87,Norway Maple,28,4.5,126
1249 W Norwood,,68,Norway Maple,22,4.5,99
1252 W Norwood,,102,American Elm,32,4,128
1262 W Norwood,,74,American Elm,24,4,96
1284 W Norwood,,89,Norway Maple,28,4.5,126
1300 W Norwood,,85,American Elm,27,4,108
1308 W Norwood,,73,White Ash,24,5,120
1310 W Norwood,,119,American Elm,38,4,152
1316 W Norwood,,80,Norway Maple,25,4.5,113
1330 W Norwood,,136,Silver Maple,43,3,129
1352 W Norwood,,82,American Sycamore,26,4,104
1353 W Norwood,,72,American Sycamore,23,4,92
1407 W Norwood,,84,Black Locust,27,3.5,95
1409 W Norwood,,84,Black Locust,27,3.5,95
1414 W Norwood,,103,American Sycamore,33,4,132
1429 W Norwood,,75,Silver Maple,24,3,72
1430 W Norwood,,78,Norway Maple,25,4.5,113
1435 W Norwood,,87,Silver Maple,28,3,84
1437 W Norwood,,80,American Sycamore,25,4,100
1443 W Norwood,,121,Silver Maple,39,3,117
1448 W Norwood,,108,American Sycamore,34,4,136
1455 W Norwood,,102,American Sycamore,32,4,128
1500 W Norwood,,108,Black Locust,34,3.5,119
1504 W Norwood,,82,American Sycamore,26,4,104
1509 W Norwood,,83,Silver Maple,26,3,78
1512 W Norwood,,110,Silver Maple,35,3,105
1519 W Norwood,,123,Silver Maple,39,3,117
1523 W Norwood,,82,Norway Maple,26,4.5,117
1534 W Norwood,,71,American Elm,23,4,92
1537 W Norwood,,90,Black Locust,29,3.5,102
1543 W Norwood,,69,Norway Maple,22,4.5,99
6145 N Lakewood,,76,Norway Maple,24,4.5,108
6157 N Lakewood,,88,American Elm,28,4,112
6103 N Glenwood,,72,Honey Locust,23,3,69
6100 N Greenview,,92,American Sycamore,29,4,116
6102 N Greenview,,75,American Sycamore,24,4,96
6113 N Greenview,,120,Silver Maple,38,3,114
6035 N Greenview,,87,American Linden,28,3,84
6036 N Greenview,,78,Honey Locust,25,3,75
6075 N Greenview,,79,Black Maple,25,5,125
6075 N Greenview,,85,American Elm,27,4,108
6076 N Greenview,,76,Honey Locust,24,3,72
6036 N Glenwood,,77,Norway maple,25,4.5,113
6036 N Glenwood,,54,Linden,17,3,51
1401 W Glenlake,south tree on Glenwood side,98,Sycamore,31,4,124
1401 W Glenlake,north tree on Glenwood side,57,Sycamore,18,4,72
6104 N Glenwood,,49,White ash,16,5,80
6106 N Glenwood,,51,White ash,16,5,80
6110 N Glenwood,,59,White ash,19,5,95
1357 W Hood,Glenwood side,49,Norway maple,16,4.5,72
1401 W Hood,Glenwood side,70,Norway maple,22,4.5,99
1400 W Hood,Glenwood side,110,Sycamore,35,4,140
6143 N Glenwood,,58,Norway maple,18,4.5,81
1355 W Granville,Glenwood side,61,Linden,19,3,57
